MONTH,YEAR,DISTRICT,CASES,PIECES,Total Declared Amount,Total Accepted Amount
Jan,2017,NICOSIA,146,175,23804216.97,29449562.79
Feb,2017,NICOSIA,228,249,31329828.4,36276385.94
Mar,2017,NICOSIA,352,445,93801094.83,101792201.6
Apr,2017,NICOSIA,219,238,40303263.19,44205906.83
May,2017,NICOSIA,274,307,53336970.88,59937917.07
Jun,2017,NICOSIA,380,450,93622033.04,106520183.6
Jul,2017,NICOSIA,250,277,46668549.33,52755613.3
Aug,2017,NICOSIA,246,277,51685744.99,56654990.52
Sep,2017,NICOSIA,305,356,143777406.5,148228460.8
Oct,2017,NICOSIA,354,411,55441017.09,59621017.09
Nov,2017,NICOSIA,382,441,65920449.34,70343220.65
Dec,2017,NICOSIA,631,839,171920012.1,180247637.4
Jan,2017,LIMASSOL,195,223,61555391.94,64898154.79
Feb,2017,LIMASSOL,245,279,69405095.98,71425950.42
Mar,2017,LIMASSOL,341,411,234879179.4,237739868.6
Apr,2017,LIMASSOL,278,303,79669732.03,81768307.18
May,2017,LIMASSOL,380,424,115123007.3,119791421.5
Jun,2017,LIMASSOL,409,629,126485128.2,139848512.1
Jul,2017,LIMASSOL,346,371,86219648.53,90289675.64
Aug,2017,LIMASSOL,332,364,81270903.35,86177114.68
Sep,2017,LIMASSOL,387,469,136030004.4,143620536.2
Oct,2017,LIMASSOL,429,479,108276441.1,112315667.5
Nov,2017,LIMASSOL,392,442,113013221,117257539.5
Dec,2017,LIMASSOL,624,687,189213610.7,195962937.4
Jan,2017,LARNACA,111,126,13741465.58,15702420.48
Feb,2017,LARNACA,162,191,28214698.11,30566809.77
Mar,2017,LARNACA,240,286,40988298.95,44580786.54
Apr,2017,LARNACA,145,178,25669282.95,32815878.89
May,2017,LARNACA,190,214,33861950.73,37172897.29
Jun,2017,LARNACA,227,291,50191021.44,54397256.96
Jul,2017,LARNACA,174,191,35839103.63,38152073.61
Aug,2017,LARNACA,192,230,23624636.65,27141155.17
Sep,2017,LARNACA,204,264,35034269.28,38287964.3
